Name,LUMG,P,PdotCor,EdotCor,"BdotS,Cor",ECut_HYB,n_ECut_HYB
J1125-5825,2.35e+33,3.1,6e-20,7.950000000000001e+34,436000000.0,3.28,40.7
J1125-6014,3.61e+32,2.63,2.08e-21,4.51e+33,74800000.0,1.73,17.3
J1137+7528,1.06e+33,2.51,3.2e-21,7.96e+33,90700000.0,1.73,5.3
J1142+0119,3.63e+33,5.08,1.5e-20,4.52e+33,279000000.0,3.87,80.3
J1151-6108,6.099999999999999e+33,101.63,1.03e-14,3.8699999999999995e+35,1030000000000.0,2.45,94.0
J1207-5050,9.2e+32,4.84,5.8800000000000005e-21,2.05e+33,171000000.0,1.74,114.1
J1221-0633,1.09e+33,1.93,1.09e-20,5.920000000000001e+34,146000000.0,3.13,101.9
J1227-4853,6.98e+33,1.69,1.07e-20,8.73e+34,136000000.0,5.5,36.6
J1231-1411,2.13e+33,3.68,7.18e-21,5.69e+33,164000000.0,2.55,3067.6
J1253-5820,1.37e+33,255.5,2.11e-15,4.98e+33,742000000000.0,0.82,35.9
