name,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW241231_054133,12.4,-2.8,3.3,7.1,-1.3,2.0,17.4,,,910.0,-330.0,190.0,0.08,-0.08,0.12,19.6,-1.2,2.0,8.08,-0.22,0.43,0.18,-0.06,0.03,1e-05,0.99,18.7,-1.3,2.1
GW241230_233618,68.0,-14.0,17.0,49.0,-19.0,16.0,12.2,,,2700.0,-1300.0,2100.0,-0.14,-0.29,0.25,116.0,-18.0,23.0,49.3,-9.7,10.8,0.47,-0.2,0.29,0.48,0.95,112.0,-18.0,22.0
GW241230_084504,42.4,-6.7,9.5,33.5,-8.3,7.7,11.1,,,2900.0,-1300.0,1400.0,-0.14,-0.23,0.21,75.6,-8.9,12.9,32.4,-4.0,5.7,0.5,-0.2,0.19,1e-05,0.99,72.4,-8.4,12.1
GW241229_155844,52.0,-15.0,22.0,33.0,-15.0,16.0,8.7,,,6800.0,-3400.0,5200.0,0.05,-0.32,0.31,85.0,-19.0,27.0,35.0,-8.5,12.3,1.0,-0.44,0.59,0.083,0.99,82.0,-18.0,26.0
GW241225_082815,55.7,-8.5,11.0,42.2,-9.4,8.4,19.5,,,1880.0,-880.0,1080.0,-0.17,-0.22,0.21,98.0,-11.0,14.0,41.8,-5.2,6.1,0.34,-0.15,0.16,1e-05,0.99,94.0,-11.0,13.0
GW241225_042553,12.4,-2.3,3.0,8.1,-1.5,1.5,16.5,,,660.0,-270.0,190.0,0.12,-0.05,0.09,20.6,-1.1,1.7,8.65,-0.26,0.42,0.14,-0.05,0.04,1e-05,0.99,19.6,-1.1,1.8
GW241220_062146,,,,,,,7.9,,,,,,,,,,,,,,,,,,9.4,0.57,,,
GW241219_222607,,,,,,,8.7,,,,,,,,,,,,,,,,,,7.900000000000001,0.56,,,
GW241210_120900,40.0,-11.0,15.0,23.6,-8.0,9.2,9.0,,,3600.0,-1800.0,3000.0,-0.07,-0.3,0.24,64.0,-12.0,15.0,26.3,-4.9,6.4,0.59,-0.26,0.38,0.28,0.97,62.0,-12.0,14.0
GW241210_060606,29.0,-5.2,8.2,21.4,-5.5,5.5,13.4,,,2600.0,-1200.0,1200.0,0.04,-0.19,0.22,50.2,-5.7,9.4,21.3,-2.4,4.1,0.45,-0.19,0.17,1e-05,0.99,47.9,-5.5,8.8
GW241210_023335,,,,,,,7.8,,,,,,,,,,,,,,,,,,1.9,0.87,,,
GW241201_142737,,,,,,,7.5,,,,,,,,,,,,,,,,,,7.6,0.66,,,
GW241201_055758,47.0,-12.0,19.0,33.0,-13.0,13.0,9.0,,,7100.0,-3800.0,4700.0,0.13,-0.36,0.36,80.0,-16.0,24.0,33.5,-7.5,10.7,1.03,-0.48,0.53,0.83,0.92,76.0,-15.0,23.0
GW241130_110422,11.1,-2.5,5.2,6.5,-1.9,1.8,10.3,,,1320.0,-570.0,530.0,0.04,-0.1,0.2,17.8,-1.7,3.4,7.31,-0.48,0.64,0.25,-0.1,0.09,0.00055,0.99,17.0,-1.7,3.5
GW241130_034908,29.9,-4.1,5.8,24.3,-4.1,4.1,13.8,,,1990.0,-930.0,990.0,0.05,-0.15,0.15,54.2,-5.1,6.7,23.3,-2.2,2.9,0.36,-0.15,0.15,1e-05,0.99,51.6,-4.9,6.3
GW241129_140416,,,,,,,8.2,,,,,,,,,,,,,,,,,,16.0,0.51,,,
GW241129_021832,30.4,-4.5,6.8,23.0,-4.8,4.5,16.7,,,2550.0,-910.0,740.0,0.17,-0.16,0.16,53.3,-4.2,6.1,22.7,-1.7,2.8,0.45,-0.14,0.11,1e-05,0.99,50.6,-3.9,5.7
GW241127_061008,63.8,-7.7,8.7,20.8,-3.4,6.5,31.3,,,1080.0,-180.0,220.0,-0.16,-0.14,0.13,85.3,-5.6,6.0,30.8,-2.0,3.6,0.21,-0.03,0.04,1e-05,0.99,83.0,-5.4,6.2
GW241125_010116,60.0,-13.0,14.0,47.0,-17.0,14.0,11.0,,,4700.0,-2200.0,3900.0,0.09,-0.27,0.27,106.0,-22.0,23.0,45.0,-10.0,10.0,0.74,-0.3,0.47,1.1e-05,0.99,101.0,-20.0,22.0
GW241124_024914,42.0,-12.0,32.0,26.0,-11.0,11.0,8.7,,,4500.0,-2300.0,4000.0,0.04,-0.29,0.33,70.0,-15.0,26.0,28.4,-6.1,8.6,0.72,-0.31,0.48,0.78,0.94,67.0,-15.0,26.0
GW241116_151753,70.0,-28.0,57.0,24.0,-13.0,26.0,10.5,,,5700.0,-2900.0,5600.0,0.28,-0.48,0.34,99.0,-30.0,48.0,34.0,-9.6,18.8,0.87,-0.39,0.64,0.0044,0.99,95.0,-29.0,48.0
GW241114_235258,11.3,-1.9,5.2,7.7,-2.2,1.5,12.4,,,790.0,-350.0,300.0,0.06,-0.08,0.18,19.1,-1.3,2.9,8.04,-0.37,0.5,0.16,-0.07,0.05,1e-05,0.99,18.2,-1.2,3.0
GW241114_024711,47.0,-11.0,9.7,25.0,-7.3,8.2,11.3,,,2600.0,-1000.0,1600.0,0.12,-0.24,0.21,71.9,-9.5,9.9,29.2,-4.3,4.7,0.45,-0.16,0.22,1e-05,0.99,68.9,-9.3,9.4
GW241113_163507,19.3,-3.0,5.4,14.4,-3.3,2.7,12.5,,,1360.0,-630.0,670.0,0.5,-0.11,0.11,33.9,-3.0,3.9,14.4,-1.1,1.5,0.26,-0.11,0.11,1e-05,0.99,31.7,-2.8,3.7
GW241111_111552,25.3,-3.3,4.4,20.5,-4.2,3.9,16.3,,,1550.0,-740.0,580.0,0.1,-0.14,0.15,45.4,-3.7,5.9,19.5,-1.6,2.7,0.29,-0.13,0.09,1e-05,0.99,43.2,-3.4,5.4
GW241110_124123,16.4,-4.1,5.1,8.0,-1.6,2.2,10.2,,,740.0,-260.0,260.0,-0.31,-0.18,0.23,24.5,-2.2,3.5,9.84,-0.42,0.5,0.15,-0.05,0.05,0.00063,0.99,23.7,-2.2,3.6
GW241109_115924,7.3,-1.1,2.8,5.14,-1.26,0.9,11.9,,,600.0,-290.0,230.0,0.01,-0.05,0.16,12.51,-0.68,1.51,5.29,-0.2,0.28,0.12,-0.06,0.04,0.0001199999999999,0.99,11.94,-0.66,1.58
